used_liter;image;cadran_1;cadran_2;cadran_3;cadran_4
48;08d21828339e1a6adcd892ef2f0d0866083c51bf.jpg;X;X;4;8
65;132d365ccede6d01b745b04ce22ed172790db50a.jpg;X;X;6;5
425;225acbbc1fa3ffdb7ed850d9193f0aaa9590159c.jpg;X;4;2;5
22;1df8a59b35f1e69a901a950b18c00300a6eb7685.jpg;X;X;2;2
67;08bdb453bd3b84eaf0340b143ada94fc997a37f3.jpg;X;X;6;7
58;06f8b8924a15bbc86c9b0779827f6e559c4821cb.jpg;X;X;5;8
43;1bc770862ea5d73bfa42ea937b13dbfa52190852.jpg;X;X;4;3
37;12364869b761a5a2751ed31cefb363a5c55024d4.jpg;X;X;3;7
61;0794c9ebbad68578b5fec092d45143422ad95738.jpg;X;X;6;1
43;237c6446cd65713f575f5b90e5d8597384aba6cc.jpg;X;X;4;3
294;09b80a02730dee832009b731784630566b874980.jpg;X;2;9;4
66;090773a7541438d272ae00688cd00ba6ae3ef94f.jpg;X;X;6;6
89;051244cbfedaa05b5319c0d9bed897558c52b069.jpg;X;X;8;9
44;03c573f7562841a5d5de3e237c215c36b8e44e23.jpg;X;X;4;4
50;247f263a3607dd963a5d0fbea8573a188f217bdd.jpg;X;X;5;0
203;1c5469b7d54884a85616cc122f72dbc8cf769576.jpg;X;2;0;3
37;221bda93abf5716e8174c207abb23127390e096e.jpg;X;X;3;7
100;074ae910537e2603655a85c49c83e4c0559152f1.jpg;X;1;0;0
50;16806ba493e4ede724ef64191b71460e10c37dcc.jpg;X;X;5;0
56;19ecec1cc7fdc8bb75a33deffa12c07c539a0856.jpg;X;X;5;6
35;0f1d8e1da3fdf5cfcacb4a824e4e77f7bd72f52e.jpg;X;X;3;5
218;1698a34324f2e721a2a9122ba83a3f127ef1e584.jpg;X;2;1;8
57;096652a167f42ff3c48e20febad423808dcce2a1.jpg;X;X;5;7
37;01c2f9d135b21a9139f7cbecc26dd4feff1627d1.jpg;X;X;3;7
508;110fe91175bcab48f1aa01aee68a9554712f55ec.jpg;X;5;0;8
39;05b575b71a82163a7bdb082904a7d553f32f66a6.jpg;X;X;3;9
84;0cfd795fed59753d223f222934728e9a788dd9ba.jpg;X;X;8;4
63;1ecb08b090b56913c4edf42c515d6933ecb7ec3e.jpg;X;X;6;3
216;2410ba374e38ccc6a1a461c4fdc546ef53d77522.jpg;X;2;1;6
178;1ed5a9efd837933f8f316c8de9a13e02e5ed92cb.jpg;X;1;7;8
65;0638035adc49b240a7439490085b6af59e1f26b8.jpg;X;X;6;5
58;23c7d2ed30476359326e1a624be570afb98e2699.jpg;X;X;5;8
365;017aaf5f05f9cb27557ba2b10121fdd7b910a406.jpg;X;3;6;5
44;2204ab10aac48c72a63a9a4fb567129b6154854d.jpg;X;X;4;4
54;0266ee4895890b01178feacc9c03b2f673274df4.jpg;X;X;5;4
